group,reading,freq,source
𓀋󼶫,fꜣꞽ.t,1,Ramses
𓀌,ḫnms,1,AES
𓀌𓅱𓀀𓏥,sqd,1,AES
𓀌𓏥,sqd,1,AES
𓀍,ḫnms,4,AES
𓀍𓋴𓊨,ḫnms,1,AES
𓀎,mšꜥ,28,AES+Ramses
𓀎𓀀,mšꜥ,7,AES+Ramses
𓀎𓀀𓁐𓏪,mšꜥ,1,Ramses
𓀎𓀀𓏥,mšꜥ,39,AES+Ramses
𓀎𓀀𓏥,mšꜥ.w,5,Ramses
𓀎𓀀𓏪,mšꜥ,34,Ramses
𓀎𓀀𓏪,mšꜥ.w,7,Ramses
𓀎𓀀𓏫,mšꜥ,82,AES+Ramses
𓀎𓀀𓏫,mšꜥ.w,14,Ramses
𓀎𓀁𓏫,mšꜥ,2,AES
𓀎𓀎𓀎𓀀𓀀𓀀,mšꜥ,1,AES
𓀎𓀜𓏪,mšꜥ,1,AES
𓀎𓅱𓀀𓏪,mšꜥ,1,Ramses
𓀎𓈓,mšꜥ,1,AES
𓀎𓊖,mšꜥ,1,Ramses
𓀎𓊖𓏤􍣡,mšꜥ,1,Ramses
𓀎𓊛,mšꜥ,2,AES
𓀎𓏏𓏥,mšꜥ.w,1,Ramses
𓀎𓏏􂕮,mšꜥ.w,1,Ramses
𓀎𓏤𓀀𓏥,mšꜥ,1,Ramses
𓀎𓏤𓏫,mšꜥ,1,Ramses
𓀎𓏥,mšꜥ,44,AES+Ramses
𓀎𓏥,mšꜥ.w,3,Ramses
𓀎𓏥𓀀,mšꜥ,1,Ramses
𓀎𓏥𓀀𓏥,mšꜥ,1,Ramses
𓀎𓏦,mšꜥ,1,AES
𓀎𓏪,mšꜥ,224,AES+Ramses
𓀎𓏪,mšꜥ.w,21,Ramses
𓀎𓏪𓀀,mšꜥ,2,Ramses
𓀎𓏪𓀀𓏥,mšꜥ.w,1,Ramses
𓀎𓏪􄾽,mšꜥ,1,Ramses
𓀎𓏫,mšꜥ,6,Ramses
𓀎𓏲𓀀𓏥,mšꜥ,1,Ramses
𓀎𓏲𓀀𓏪,mšꜥ,1,Ramses
𓀎𓏲𓏫,mšꜥ,2,Ramses
𓀎󼶫,mšꜥ,1,Ramses
𓀎󼶫𓀀𓏥,mšꜥ,2,Ramses
