group,reading,freq,source
𓆱𓏏𓏤𓏰,ḫt,1,AES
𓆱𓏏𓏤𓏲𓆱𓏥,ḫt.w,1,Ramses
𓆱𓏏𓏥,ḫt.w,6,Ramses
𓆱𓏏𓏥,ḫt,1,AES
𓆱𓏏𓏭𓅂𓈇𓏤,ḫtyw,1,Ramses
𓆱𓏏𓏯,ḫt,2,Ramses
𓆱𓏏𓐍,ḫt,1,AES
𓆱𓏏𓐍𓂡,nḫt,2,Ramses
𓆱𓏏𓐍𓂻,ḫt,1,AES
𓆱𓏏󷓀,ḫt,1,Ramses
𓆱𓏏􄾽,ḫt,1,Ramses
𓆱𓏤,ḫt,4,Ramses
𓆱𓏥,ḫt,6,AES+Ramses
𓆱𓏥,ḫt.w,3,Ramses
𓆱𓏥,ḫ.wt,1,Ramses
𓆱𓏥𓏴𓈋,ḫt,1,Ramses
𓆱𓐍𓂡𓏏𓅱𓏥,nḫtw.w,1,Ramses
𓆱𓐍𓂻􏄊,ḫt.w,3,AES
𓆱𓐍𓂻􏄊􎟬𓊖,ḫt.w,1,AES
𓆱𓐍𓌪𓏏𓆭𓏫,ḫt-ds,1,AES
𓆱𓐍𓏏,ḫt,23,AES+Ramses
𓆱𓐍𓏏𓂡,nḫt,2,Ramses
𓆱𓐍𓏏𓂡𓍿,nḫt,1,Ramses
𓆱𓐍𓏏𓂡𓏥,nḫt.w,1,Ramses
𓆱𓐍𓏏𓂻,ḫt,43,AES+Ramses
𓆱𓐍𓏏𓂻,ḫti,2,AES
𓆱𓐍𓏏𓂻,m-ḫt,1,AES
𓆱𓐍𓏏𓂻𓂽,ḫti,1,AES
𓆱𓐍𓏏𓂻𓅂𓀭𓏥,ḫt.w,1,AES
𓆱𓐍𓏏𓂻𓅂𓌙𓀀𓁐𓏥𓈉,ḫt.ꞽw-tꜣ,1,AES
𓆱𓐍𓏏𓂻𓆭𓏫,ḫt,1,AES
𓆱𓐍𓏏𓂽,ḫti,3,AES
𓆱𓐍𓏏𓅂𓂻𓏥,ḫti,1,AES
𓆱𓐍𓏏𓅂𓂾𓂻,ḫti,1,AES
𓆱𓐍𓏏𓅂𓂾𓂻,ḫty,1,Ramses
𓆱𓐍𓏏𓅂𓆷𓈇,ḫt.w,1,AES
𓆱𓐍𓏏𓅂𓇋𓇋𓈇𓏥,ḫty.w,1,Ramses
𓆱𓐍𓏏𓅂𓈇𓈇𓂾𓂻,ḫtyw,1,Ramses
𓆱𓐍𓏏𓅂𓈇𓏤,ḫt.w,2,AES
𓆱𓐍𓏏𓅂𓈇𓏤,ḫtyw,2,Ramses
𓆱𓐍𓏏𓅂𓈇𓏤𓉐,ḫtyw,2,Ramses
𓆱𓐍𓏏𓅂𓈒,ḫt.w,1,AES
𓆱𓐍𓏏𓅂𓊍,ḫtyw,4,Ramses
𓆱𓐍𓏏𓅂𓌽𓈒𓏥,ḫt.wꞽ,1,AES
𓆱𓐍𓏏𓅂𓏏𓈇𓏤,ḫtyw,10,Ramses
𓆱𓐍𓏏𓅂𓏏𓈇𓏤,ḫt.w,1,AES
𓆱𓐍𓏏𓅂𓏛𓏥,ḫty.w,1,Ramses
𓆱𓐍𓏏𓅱𓌫,ḫt,1,Ramses
𓆱𓐍𓏏𓅱𓌫𓂡,ḫt,1,Ramses
𓆱𓐍𓏏𓆱𓐍𓏏𓂻,ḫtḫt,1,Ramses
𓆱𓐍𓏏𓆱𓐍𓏏𓂻𓏏𓏲,ḫtḫt.tw,1,Ramses
𓆱𓐍𓏏𓆱𓐍𓏏𓂽,ḫtḫt,2,AES
𓆱𓐍𓏏𓆱𓐍𓏏𓂽𓎢𓏲𓀀,ḫtḫt.kwꞽ,1,Ramses
𓆱𓐍𓏏𓆱𓐍𓏏𓂽𓏏𓏲,ḫtḫt,1,Ramses
𓆱𓐍𓏏𓇋𓂻𓇋,ḫty,1,Ramses
𓆱𓐍𓏏𓇋𓇋𓁻𓂻,ḫty,1,Ramses
𓆱𓐍𓏏𓇋𓇋𓂷𓂡,ḫt,7,Ramses
𓆱𓐍𓏏𓇋𓇋𓂽,ḫty,6,Ramses
𓆱𓐍𓏏𓇋𓇋𓌪𓂝,ḫt,1,Ramses
𓆱𓐍𓏏𓊍𓋞𓏏𓏏𓁐,ḫt.w-nbw.t,1,AES
𓆱𓐍𓏏𓌪,ḫt,1,Ramses
𓆱𓐍𓏏𓌪𓂡,ḫti,1,AES
𓆱𓐍𓏏𓏏𓂡𓏥,nḫt.w,1,Ramses
𓆱𓐍𓏏𓏏𓌪𓂝,ḫti,1,AES
𓆱𓐍𓏏𓏛𓌪𓂡,ḫti,1,AES
𓆱𓐍𓏏𓏝,ḫti,1,AES
𓆱𓐍𓏏𓏥,ḫt,1,Ramses
𓆱𓐍𓏏𓏭𓂻,ḫtw,1,Ramses
𓆱𓐍𓏛𓂽,ḫti,11,AES
𓆱𓐍𓏛𓂽𓈖,ḫti,1,AES
𓆱𓐍𓏛𓆱𓐍𓏛𓂽,ḫtḫt,3,AES
𓆱𓐍󼶫𓆱𓐍𓂽,ḫtḫt.kwꞽ,1,Ramses
𓆱𓐝,ḫmt,1,AES
𓆱󰍘𓆱𓏥,ḫt-ṯꜣ.w,1,AES
𓆳,rnp.t,15,AES+Ramses
𓆳,rnp.t-sp,3,AES
𓆳,rnpi,1,AES
𓆳,ḥsb.t,1,Ramses
𓆳,rnp.wt,1,Ramses
𓆳𓀁,rnp.t,1,Ramses
𓆳𓂂,ḥsb.t,11,Ramses
𓆳𓂋,rnp.wt,1,AES
𓆳𓂋𓇋,rnp.wt,1,Ramses
𓆳𓄋𓂂𓐚,wp-rnp.t,1,AES
𓆳𓄋𓇳,wp-rnp.t,3,AES
𓆳𓄋𓇳𓈀,wp-rnp.t,3,AES
𓆳𓄋𓇳𓎱,wp-rnp.t,1,AES
𓆳𓄋𓇳𓏤𓎱,wp-rnp.t,1,AES
𓆳𓄋𓇳𓏳,wp-rnp.t,1,AES
𓆳𓄋𓇳𓐚,wp-rnp.t,21,AES
𓆳𓄋𓇳󵺬,wp-rnp.t,1,AES
𓆳𓄋𓈒𓈀,wp-rnp.t,1,AES
𓆳𓄋𓏏𓏳,wp-rnp.t,1,AES
𓆳𓄋𓐚𓉲𓎱,wp-rnp.t,1,AES
𓆳𓄤𓏏,rnp.t-nfr.t,1,AES
𓆳𓅱,rnp.wt,1,AES
𓆳𓅱𓏏,rnp.wt,1,AES
𓆳𓆑𓇳,snf,2,AES+Ramses
𓆳𓆑𓇳,sf,1,Ramses
𓆳𓆱𓐍𓏏𓊗,rnp.t-ḫt-sp,1,AES
𓆳𓆳𓆑𓇳,snf,6,AES+Ramses
𓆳𓆳𓆑𓇳𓏫,snf,2,Ramses
𓆳𓆳𓆳,rnp.wt,70,Ramses
𓆳𓆳𓆳,rnp.t,8,AES
𓆳𓆳𓆳𓇳,rnp.wt,1,Ramses
𓆳𓆳𓆳𓈖𓏥,rnp.wt,1,Ramses
𓆳𓆳𓆳𓏏𓏤𓏛𓏥,rnp.wt,1,Ramses
𓆳𓆳𓆳𓏏𓏥,rnp.wt,9,Ramses
𓆳𓆳𓆳𓏏𓏥,rnp.t,2,AES
𓆳𓆳𓆳𓏪,rnp.wt,1,Ramses
𓆳𓆳𓏏𓏥,rnp.wt,2,Ramses
𓆳𓇨,rnp.wt,1,AES
𓆳𓇳,rnp.t,2,AES
𓆳𓇳𓄋,wp-rnp.t,3,AES
𓆳𓇳𓄋𓈙,wp-rnp.t,1,AES
𓆳𓇳𓄋𓐚,wp-rnp.t,7,AES
𓆳𓇳𓐚𓄋,wp-rnp.t,1,AES
𓆳𓇹𓇳,ḥsb.t,2,Ramses
𓆳𓇹𓊗,rnp.t-sp,1,AES
𓆳𓊗,ḥsb.t,11,Ramses
𓆳𓊗,rnp.t-sp,7,AES
𓆳𓊪,rnp.wt,1,AES
𓆳𓊪𓏏𓎺,rnp.wt,1,AES
𓆳𓋴,šms.w,1,AES
𓆳𓌐,ṯp-rnp.t,11,AES
𓆳𓌐𓎱,ṯp-rnp.t,1,AES
𓆳𓌐𓏏,ṯp-rnp.t,5,AES
𓆳𓌐𓏏𓎱,ṯp-rnp.t,4,AES
𓆳𓍘,rnpi,1,AES
𓆳𓍘𓇋,rnpi,1,AES
𓆳𓏏,rnp.t,27,AES+Ramses
𓆳𓏏,ḥsb.t,3,Ramses
𓆳𓏏,rnp.wt,1,Ramses
𓆳𓏏𓁷𓂋𓅱,ḥr.ꞽw-rnp.t,1,AES
𓆳𓏏𓁷𓂋𓅱𓎱𓏥,ḥr.ꞽw-rnp.t,1,AES
𓆳𓏏𓂂,ḥsb.t,131,Ramses
𓆳𓏏𓄋𓇳𓈙,wp-rnp.t,1,AES
𓆳𓏏𓅆𓏫,rnp.t,1,AES
𓆳𓏏𓅪𓏏𓎱,rnp.t-nḏs.t,1,AES
𓆳𓏏𓇳,ḥsb.t,95,Ramses
𓆳𓏏𓇳,rnp.t-sp,11,AES
𓆳𓏏𓇳,rnp.t,11,AES+Ramses
𓆳𓏏𓇳,rnp.wt,1,Ramses
𓆳𓏏𓇳𓏏,rnp.t,1,AES
𓆳𓏏𓇳𓏤,rnp.t,2,Ramses
𓆳𓏏𓇳𓏫,rnp.t,2,Ramses
𓆳𓏏𓇳𓏫,rnp.wt,1,Ramses
𓆳𓏏𓇳􄾽,ḥsb.t,1,Ramses
𓆳𓏏𓉻𓎱,rnp.t-ꜥꜣ.t,1,AES
𓆳𓏏𓊖,ḥsb.t,2,Ramses
𓆳𓏏𓊗,ḥsb.t,1204,Ramses
𓆳𓏏𓊗,rnp.t-sp,55,AES
𓆳𓏏𓊗,rnp.t,35,Ramses
𓆳𓏏𓊗,ꞽꜣd.t-rnp.t,1,AES
𓆳𓏏𓊗𓏤,rnp.t-sp,1,AES
𓆳𓏏𓌐,ṯp-rnp.t,20,AES
𓆳𓏏𓌐𓎟,ṯp-rnp.t,2,AES
𓆳𓏏𓌐𓎱,ṯp-rnp.t,1,AES
𓆳𓏏𓏤,rnp.t,166,AES+Ramses
𓆳𓏏𓏤,ḥsb.t,3,Ramses
𓆳𓏏𓏤,rnp.wt,3,Ramses
𓆳𓏏𓏤,rnpi,1,AES
𓆳𓏏𓏤𓄤𓆑𓂋𓏏𓏛𓁐,rnp.t-nfr.t,1,Ramses
𓆳𓏏𓏤𓇳,rnp.t,13,AES+Ramses
𓆳𓏏𓏤𓇳𓏫,rnp.t,1,Ramses
𓆳𓏏𓏤𓍼𓏥𓇳,rnp.t,1,Ramses
𓆳𓏏𓏤𓏥,rnp.t,10,AES
𓆳𓏏𓏤𓏥,rnp.wt,4,Ramses
𓆳𓏏𓏤𓏥,wpw.t,1,AES
𓆳𓏏𓏤𓏪,rnp.t,1,AES
𓆳𓏏𓏤𓏫,rnp.wt,5,Ramses
𓆳𓏏𓏤𓏫,rnp.t,4,AES+Ramses
𓆳𓏏𓏤𓏯􄾽,rnp.t,2,Ramses
𓆳𓏏𓏤􄾽,rnp.t,1,Ramses
𓆳𓏏𓏤􄾽􄾽,rnp.t,2,Ramses
𓆳𓏏𓏥,rnp.wt,43,Ramses
𓆳𓏏𓏥,rnp.t,25,AES
𓆳𓏏𓏦,rnp.t,1,AES
𓆳𓏏𓏪,rnp.wt,4,Ramses
𓆳𓏏􄾽𓏤,rnp.t,1,Ramses
𓆳𓏛,rnpi,1,AES
𓆳𓏤,rnp.t,2,Ramses
𓆳𓏤𓂂,rnp.t,1,Ramses
𓆳𓏤𓏏𓊗,ḥsb.t,1,Ramses
𓆳𓏤𓏏𓏥,rnp.wt,1,Ramses
𓆳𓏪,rnp.wt,1,Ramses
𓆳𓏫,rnp.wt,1,Ramses
𓆳𓐍𓄋𓐚,wp-rnp.t,1,AES
𓆳󼶫𓏤,rnp.t,1,Ramses
𓆳􄾽,ḥsb.t,3,Ramses
𓆳􄾽𓊗,ḥsb.t,4,Ramses
𓆳􍴫,wp-rnp.t,1,AES
𓆳􍴫,wp.t-rnp.t,1,AES
𓆳􍴫𓎱,wp-rnp.t,1,AES
𓆴,tr,2,AES
𓆴𓇳𓏥,tr,1,AES
𓆴𓏏,tr,1,AES
𓆴𓏏𓏤,rnp.t,2,Ramses
𓆴𓏏𓏥,rnp.wt,2,Ramses
𓆵,rsꞽ,1,AES
𓆵,tr,1,AES
𓆵,rnpꞽ,1,Ramses
𓆵𓀁𓏛𓏪,tr.w,1,Ramses
𓆵𓇳,tr,1,AES
𓆵𓊗𓏥𓆳𓏏𓏤𓎱𓇳,rnp.t,1,AES
𓆵𓏏𓇳,rnp.t-sp,1,AES
𓆵𓏏𓇳,tr,1,Ramses
𓆵𓏏𓊗,ḥsb.t,35,Ramses
𓆵𓏏𓏥,rnp.t,1,AES
𓆵𓏤,tr,1,AES
𓆵𓏭𓈅𓏤,rs.wt,1,AES
𓆶,rnp.wt,1,AES
𓆶𓀔,rnpi,2,AES
𓆶𓀔,rnpꞽ.t,2,Ramses
𓆶𓂋,rnp.wt,2,AES
𓆶𓅱𓎟𓏏,rnp.wt,1,AES
𓆶𓅱𓏏,rnp.wt,1,AES
𓆶𓅱𓏏𓈓,rnp.wt,2,AES
𓆶𓅱𓏏𓎟𓈓,rnp.wt,1,AES
𓆶𓅱𓏏𓎺,rnp.wt,1,AES
𓆶𓆰𓏏𓏪,rnp.t,1,AES
𓆶𓆰𓏥,rnp.wt,3,Ramses
𓆶𓇋𓇋𓏏𓆰𓏥,rnp.wt,4,AES+Ramses
𓆶𓇋𓇋𓏏𓎺,rnp.wt,1,Ramses
𓆶𓇋𓇋𓏛,rnpꞽ,1,Ramses
𓆶𓈍𓏥𓊃𓊵𓏏𓊪󷑯,wṯs-ḫꜥ.w-sḥtp-nṯr.w,1,AES
𓆶𓍘,rnpi,2,AES
𓆶𓍘,rnpꞽ.tw,2,Ramses
𓆶𓍘𓇋,rnpi,2,AES
𓆶𓏏,rnp.wt,2,AES
𓆶𓏏,rnpi,1,AES
𓆶𓏏𓂋,rnp.t,1,AES
𓆶𓏏𓆰,rnp.wt,2,AES+Ramses
𓆶𓏏𓆰𓏥,rnp.wt,11,AES+Ramses
𓆶𓏏𓇨,rnp.wt,1,Ramses
𓆶𓏏𓇨𓏥,rnp.wt,1,Ramses
𓆶𓏏𓎺,rnp.wt,2,Ramses
𓆶𓏏𓎺,rnp.t,1,AES
𓆶𓏏𓏲,rnptw,1,Ramses
𓆶𓏏󻇂,rnp.wt,1,AES
𓆷,ꜣḫ.t,7,AES+Ramses
𓆷,šꜣ,5,AES+Ramses
𓆷,šꜣꜥ,1,Ramses
𓆷𓂋,ꜣḫ.t,1,Ramses
𓆷𓂋𓅓𓂡,šrm,1,AES
𓆷𓂋𓏤𓂧𓏭𓈖𓄿𓌙􎊀𓏪,šrdn.w,3,Ramses
𓆷𓂋𓏤𓂧􍣡𓈖􎊀𓌙𓏥,šrdn.w,1,Ramses
𓆷𓂝,šꜣꜥ,3,Ramses
𓆷𓂝𓈖,šꜣꜥ,1,AES
𓆷𓂝𓈖,šꜣꜥ-m,1,AES
𓆷𓂝𓏛,šꜣꜥ,5,AES+Ramses
𓆷𓂝𓏛,šꜣꜥ-m,1,AES
𓆷𓂝𓏛,r-šꜣꜥ-r,1,Ramses
𓆷𓂝𓏛𓅓,šꜣꜥ-m,6,AES+Ramses
𓆷𓂝𓏛𓐛,šꜣꜥ-m,7,Ramses
𓆷𓂝𓏛𓐝,šꜣꜥ-m,6,AES
𓆷𓂝𓐛,šꜣꜥ-m,1,Ramses
𓆷𓂝𓐝,šꜣꜥ-r,1,AES
𓆷𓂧𓂡,šꜣd,1,Ramses
𓆷𓂧𓄿𓂡,šꜣd,1,AES
𓆷𓃀𓅱𓏏𓈖𓈉,šbtn,2,Ramses
𓆷𓃀𓏏𓅱𓈖𓄿𓈉,šbtn,1,Ramses
𓆷𓃀𓏏𓅱𓈖𓈉,šbtn,9,Ramses
𓆷𓃹𓈖,wnn,1,AES
𓆷𓄑𓏛𓈎𓄿𓏛𓏥,šḥq,1,Ramses
𓆷𓄟𓆰𓏥,šꜣms,1,AES
𓆷𓄿,šꜣ,2,Ramses
𓆷𓄿,šꜣw,2,Ramses
𓆷𓄿,šꜣs-ḥtp,1,AES
𓆷𓄿,pꜣ,1,Ramses
𓆷𓄿𓂋𓂋𓀞,šrr,1,AES
𓆷𓄿𓂋𓈙𓂾𓂻,šrš,1,Ramses
𓆷𓄿𓂋𓈙𓂾𓏭𓂻,šrš,1,AES
𓆷𓄿𓂋𓈚𓂾𓂻,šrš,1,Ramses
𓆷𓄿𓂋𓈚𓂾𓏭𓂻,šrš,1,Ramses
𓆷𓄿𓂋𓏤𓂧𓏭𓈖𓄿𓌙𓀀,šrdn,1,Ramses
𓆷𓄿𓂋𓏤𓅖𓀢,šrm,1,Ramses
𓆷𓄿𓂋𓏤𓌳𓄿𓀢󷓀𓄑𓀁,šlm,6,Ramses
𓆷𓄿𓂋𓏤𓎼𓄿𓎛𓏭𓏴𓂡,šrgḥ.w,1,Ramses
𓆷𓄿𓂋𓏤𓐝𓂝𓀃,šrm,1,Ramses
𓆷𓄿𓂋𓏤𓐝𓂝𓀢,šrm,3,Ramses
𓆷𓄿𓂋𓏥𓂧𓏭𓈖𓄿𓌙𓀀𓏥,šrdn.w,1,Ramses
𓆷𓄿𓂋𓏲𓁻𓏥,šꜣr.w,5,AES
𓆷𓄿𓂝𓂋𓏤𓍘𓇋𓏏𓄛,šꜥr.t,1,AES
𓆷𓄿𓂝𓂻,šꜣꜥ-m,1,AES
𓆷𓄿𓂝𓊃𓐍,šꜣꜥsḫ,1,AES
𓆷𓄿𓂝𓏏,šꜣꜥ.t,1,AES
𓆷𓄿𓂝𓏏𓈇𓏤,šꜥ,1,AES
𓆷𓄿𓂝𓏛,šꜣꜥ,87,AES+Ramses
𓆷𓄿𓂝𓏛,r-šꜣꜥ-r,11,Ramses
𓆷𓄿𓂝𓏛,r-šꜣꜥ-m,5,Ramses
𓆷𓄿𓂝𓏛,šꜣ,2,AES
𓆷𓄿𓂝𓏛,šꜣꜥ-m,2,AES+Ramses
𓆷𓄿𓂝𓏛𓀀𓊃𓊪𓊕𓎛𓈖𓂝𓆑𓅓𓄡𓏏𓏤𓄹𓅐𓏏𓆇𓅆𓆑,šꜣꜥ=ꞽ-sp-ḥnꜥ=f-m-ẖ.t-m.t=f,1,AES
𓆷𓄿𓂝𓏛𓀀𓐝,šꜣꜥ-m,1,AES
𓆷𓄿𓂝𓏛𓂋,šꜣꜥ-r,1,AES
𓆷𓄿𓂝𓏛𓅓,šꜣꜥ-m,17,AES+Ramses
𓆷𓄿𓂝𓏛𓅓,r-šꜣꜥ-m,1,Ramses
𓆷𓄿𓂝𓏛𓇋𓀁𓁹𓂋𓏏𓏲,šꜣꜥ-ꞽ.ꞽr.t=,1,AES
𓆷𓄿𓂝𓏛𓈋𓈋𓏲𓏲𓊌𓏥,šꜣꜥ-ḏw.wꞽ,1,AES
𓆷𓄿𓂝𓏛𓈖,šꜣꜥ,6,AES
𓆷𓄿𓂝𓏛𓈖,šꜣꜥ.n,5,Ramses
𓆷𓄿𓂝𓏛𓈖,šꜣꜥ-m,3,Ramses
𓆷𓄿𓂝𓏛𓈖,šꜣ,1,AES
𓆷𓄿𓂝𓏛𓈖,r-šꜣꜥ-m,1,Ramses
𓆷𓄿𓂝𓏛𓈖𓈖,šꜣꜥ,1,AES
𓆷𓄿𓂝𓏛𓏏,šꜣꜥ-ꞽ.ꞽr.t=,1,AES
𓆷𓄿𓂝𓏛𓏏𓏲,šꜣꜥ,4,Ramses
𓆷𓄿𓂝𓏛𓏏𓏲,šꜣꜥ-ꞽ.ꞽr.t=,1,AES
𓆷𓄿𓂝𓏛𓏏𓏲,šꜣꜥ.t,1,Ramses
𓆷𓄿𓂝𓏛𓏛𓈖,šꜣꜥ,1,AES
𓆷𓄿𓂝𓏛𓏭𓂋𓏤𓀁,šꜥr,1,Ramses
𓆷𓄿𓂝𓏛𓏲𓏏,šꜣꜥ-ꞽ.ꞽr.t=,1,AES
𓆷𓄿𓂝𓏛𓐛,r-šꜣꜥ-m,1,Ramses
𓆷𓄿𓂝𓏲𓈒𓏥,šꜣꜥ,1,Ramses
𓆷𓄿𓂧𓀜,šꜣd,1,Ramses
𓆷𓄿𓂧𓂡,šꜣd,3,AES+Ramses
𓆷𓄿𓂧𓃀𓏏𓆱,šbd,1,AES
𓆷𓄿𓂧𓄿𓂢𓂡,šd,1,Ramses
𓆷𓄿𓂧𓄿𓈖𓄿𓌙𓀀𓀀𓏥,šrdn.w,1,Ramses
𓆷𓄿𓂧𓈇𓏤𓇋𓈖𓂋𓊌𓏫,šꜣd-ꞽnr,1,Ramses
𓆷𓄿𓂧𓈖,šꜥd,1,AES
𓆷𓄿𓂧𓏭𓂡,šꜣd,1,Ramses
𓆷𓄿𓂧𓏭𓃭𓏤𓍘𓇋𓏏𓈇𓏤𓏫,šdr.wt,1,Ramses
𓆷𓄿𓂧𓏭𓍘𓇋𓏏𓏛𓊌,šdr.t,1,Ramses
𓆷𓄿𓂷𓂡,šty,1,Ramses
𓆷𓄿𓃀𓀾𓀾𓅆𓏫,šwbty.w,1,Ramses
𓆷𓄿𓃀𓂧𓆱􄾽,šbd,1,Ramses
𓆷𓄿𓃀𓂧𓏏𓄹,šbd,1,Ramses
𓆷𓄿𓃀𓂧𓏏𓆱,šbd,3,Ramses
𓆷𓄿𓃀𓂧𓏏𓆱𓏫,šbd.w,2,Ramses
𓆷𓄿𓃀𓂧𓏏𓏯𓆱𓏥,šbd,1,Ramses
𓆷𓄿𓃀𓂧𓏭𓂾,šbd,1,AES
𓆷𓄿𓃀𓂧𓏲𓄹,šbd,1,AES
𓆷𓄿𓃀𓂧󵺬𓇋𓇋𓆱𓏥,šbd,1,Ramses
𓆷𓄿𓃀𓅱𓈉,šbtn,1,Ramses
𓆷𓄿𓃀𓅱𓏒𓏥,šꜣb.w,1,AES
𓆷𓄿𓃀𓇭𓈒𓏥,šꜣb.w,1,AES
𓆷𓄿𓃀𓏏𓆮,šwb,1,Ramses
𓆷𓄿𓃀𓏏𓆱𓏥,šꜣb.t,1,AES
𓆷𓄿𓃀𓏑𓏊𓏒,šꜣb.w,1,AES
𓆷𓄿𓃀𓏲𓂧𓆱,šbd,1,Ramses
𓆷𓄿𓃀𓏲𓂧𓆱𓏫,šbd.w,1,Ramses
𓆷𓄿𓃀𓏲𓂧𓏭𓆱,šbd,1,Ramses
𓆷𓄿𓃀𓏲𓂧𓏭𓆱𓏥,šbd,1,Ramses
𓆷𓄿𓃀𓏲𓂧𓏲𓈖𓄿𓈗𓈘𓏤𓈇𓏫,šbtn,1,Ramses
𓆷𓄿𓃀𓏲𓆭𓈒𓏥,šwb,2,Ramses
𓆷𓄿𓃀𓏲𓇋𓇋𓈒𓏥,šby,3,Ramses
𓆷𓄿𓃀𓏲𓍘𓇋𓆱,šbd,4,Ramses
𓆷𓄿𓃀𓏲𓍘𓇋𓏏𓆱,šꜣbwtꞽ,1,Ramses
𓆷𓄿𓃀𓏲𓏊𓏫,šb.t,1,AES
𓆷𓄿𓃀𓏲𓏏𓏭𓀾𓏫,šwbty.w,1,Ramses
𓆷𓄿𓃀𓏲𓏴𓏛𓏫,šbw,2,Ramses
𓆷𓄿𓃀𓏲𓐎𓏛,šꜣbw,2,Ramses
𓆷𓄿𓃀󼶫𓆱,šbd,1,Ramses
𓆷𓄿𓃟,šꜣꞽ,9,AES+Ramses
𓆷𓄿𓃭𓂧𓈖𓈖𓄿𓌙𓀀𓏥,šrdn.w,1,Ramses
𓆷𓄿𓄏,šꜣ,1,Ramses
𓆷𓄿𓄑𓏛𓈎𓄿𓈀,šḥq,1,Ramses
𓆷𓄿𓄑𓏛𓈎𓄿𓈀𓏥,šḥq,1,Ramses
𓆷𓄿𓄑𓏛𓈎𓄿𓏭𓂋,šḥq,1,Ramses
𓆷𓄿𓄑𓏛𓎛𓈎𓏒,šḥq,1,Ramses
𓆷𓄿𓄛,šꜣꞽ,1,Ramses
𓆷𓄿𓄛𓏤,šꜣꞽ,1,AES
𓆷𓄿𓄟𓋴𓆰𓏥,šꜣms,18,AES
𓆷𓄿𓄟𓋴𓆰𓏪,šꜣms,3,AES
𓆷𓄿𓄟𓋴𓆰𓏫,šꜣms,1,AES
𓆷𓄿𓄟𓋴𓏏𓆰𓏫,šꜣms,1,AES
𓆷𓄿𓄟𓋴𓏲𓏏𓆰𓏪,šꜣms,1,AES
𓆷𓄿𓄟𓋴𓏲𓏏𓆰𓏫,šꜣms,2,AES
𓆷𓄿𓄹,šꜣ.w,1,AES
𓆷𓄿𓄹𓏤,šꜣ.w,1,AES
𓆷𓄿𓄿𓏏𓏛,šꜣ,1,AES
𓆷𓄿𓅁𓎼𓄿𓌙,šmg,2,Ramses
𓆷𓄿𓅓𓂝𓀁,šm,3,Ramses
𓆷𓄿𓅓𓂝𓀁𓏏𓏲,šm,2,Ramses
𓆷𓄿𓅓𓂝𓁸𓁐,šꜣm.t,1,Ramses
𓆷𓄿𓅓𓂝𓂻,šm,1,Ramses
𓆷𓄿𓅓𓂝𓂾𓂻,šm,1,Ramses
𓆷𓄿𓅓𓂝𓃀𓂝𓏭𓂋𓏤𓏲𓌙𓀀,šmbr,1,Ramses
𓆷𓄿𓅓𓂝𓆼𓄿𓃀𓏲󼶫󼶫􄾽𓏊,šꜣmḫꜣbw,1,Ramses
𓆷𓄿𓅓𓂝𓇋𓇋𓏊𓏪,šꜣm.w,1,AES
𓆷𓄿𓅓𓂝𓏌,šꜣmw,1,Ramses
𓆷𓄿𓅓𓅱𓂾𓂻,šꜣm,1,Ramses
𓆷𓄿𓅓𓇋𓇋𓏏𓈗,šꜣmꞽ.t,1,AES
𓆷𓄿𓅓𓉺𓌙,mšwš,1,Ramses
𓆷𓄿𓅓𓊮,šꜣm,1,AES
𓆷𓄿𓅓𓊮𓐍𓂋,šꜣm,1,AES
𓆷𓄿𓅓𓏲𓆱𓊌,šꜣmw,1,Ramses
𓆷𓄿𓅓𓏲𓋳𓏤𓏥,šꜣm.w,1,AES
𓆷𓄿𓅓𓏲𓋳𓏥,šꜣm.w,1,AES
𓆷𓄿𓅓𓏲𓏌𓏥,šꜣm.w,1,AES
𓆷𓄿𓅡𓏤𓂓𓏤𓅆􄾽,šꜣbꜣkꜣ,1,Ramses
𓆷𓄿𓅱,šꜣ.w,1,AES
𓆷𓄿𓅱𓂸𓃟,šꜣꞽ,1,AES
𓆷𓄿𓅱𓏏𓆰,šꜣw,2,Ramses
𓆷𓄿𓅱𓏏𓆰,šꜣ.wt,1,AES
𓆷𓄿𓅱𓏏𓆰𓏫,šꜣw,3,Ramses
𓆷𓄿𓅱𓏏𓆰𓏫,šꜣ.wt,1,AES
𓆷𓄿𓅱𓏏𓏛𓏥,šꜣ.ꞽt,1,AES
𓆷𓄿𓅱𓏛,šꜣw,4,Ramses
𓆷𓄿𓅱󰊮,šꜣ.w,1,AES
𓆷𓄿𓅷𓏤𓍯𓄿𓈖𓄿𓁻𓏱,šṯwn,1,AES
𓆷𓄿𓆑𓂧𓏴𓂡𓏏𓏲,šfd.tw,1,Ramses
𓆷𓄿𓆑𓏭𓏭𓅪,šf,1,Ramses
𓆷𓄿𓆷𓄿𓀁𓏴𓅪,šš,1,Ramses
𓆷𓄿𓆷𓄿𓀤,šš,1,Ramses
𓆷𓄿𓆷𓄿𓂷𓂡,šš,1,Ramses
𓆷𓄿𓆷𓄿𓄿𓈒𓏥,šꜣšꜣ,1,AES
𓆷𓄿𓆷𓄿𓆰𓏪,šꜣšꜣ,3,AES
𓆷𓄿𓆷𓄿𓇋𓇋𓏏𓄹,šꜣšꜣꞽ.t,2,AES
