sign,gardiner,codepoint,function,value,meaning,group,qualifier,source_note
𓀋,A9,U+1300B,logogram or determinative,fꜣꞽ,raise,,root=fꜣ,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓀋,A9,U+1300B,logogram or determinative,kꜣt,work,,root=kꜣ,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓀌,A10,U+1300C,determinative,,sailing,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓀍,A11,U+1300D,logogram or determinative,ḫnms,friend,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓀎,A12,U+1300E,logogram or determinative,mšꜥ,army,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓀎,A12,U+1300E,determinative,,army,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓀏,A13,U+1300F,determinative,,enemy,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓀐,A14,U+13010,determinative,,death,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓀐,A14,U+13010,determinative,,enemy,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓀒,A15,U+13012,logogram or determinative,ḫr,fall,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓀒,A15,U+13012,logogram,sḫrt,overthrow (infinitive),A15:X1,root=sḫr,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓀓,A16,U+13013,determinative,ksꞽ,bow down,,root=ks,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓀔,A17,U+13014,logogram or determinative,ẖrd,child,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓀔,A17,U+13014,determinative,,young,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓀔,A17,U+13014,phonogram,nnꞽ,,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓀔,A17,U+13014,phonogram,ms,,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓀖,A18,U+13016,determinative,,child-king,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓀗,A19,U+13017,logogram or determinative,ꞽꜣwꞽ,old,,root=ꞽꜣ,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓀗,A19,U+13017,logogram or determinative,smsw,eldest,,root=sms,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓀗,A19,U+13017,logogram or determinative,wr,great,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓀗,A19,U+13017,determinative,,old,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓀗,A19,U+13017,determinative,,lean,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓀗,A19,U+13017,logogram or determinative,ꞽky,quarryman,,root=ꞽk,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓀘,A20,U+13018,logogram or determinative,smsw,eldest,,root=sms,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓀘,A20,U+13018,logogram,smsw-hꜣyt,elder of the portal,A20:[sep=0.2]N1,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓀙,A21,U+13019,logogram or determinative,sr,official (noun),,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓀙,A21,U+13019,determinative,,dignitary,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓀚,A22,U+1301A,determinative,,statue,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓀛,A23,U+1301B,determinative,ꞽty,sovereign,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓀜,A24,U+1301C,logogram or determinative,nḫt,strong,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓀜,A24,U+1301C,determinative,,"strike, force, effort",,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓀝,A25,U+1301D,logogram or determinative,ḥwꞽ,strike,,root=ḥw,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓀞,A26,U+1301E,determinative,,call,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓀞,A26,U+1301E,logogram,sḏm-ꜥš,servant,F21*A26,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
